Iteration 213000, loss = 0.232, ber = 0.00940
Iteration 214000, loss = 0.249, ber = 0.01003
Iteration 215000, loss = 0.239, ber = 0.00972
Iteration 216000, loss = 0.245, ber = 0.00992
Iteration 217000, loss = 0.253, ber = 0.01040
Iteration 218000, loss = 0.243, ber = 0.00991
Iteration 219000, loss = 0.245, ber = 0.00989
Iteration 220000, loss = 0.240, ber = 0.00966
Iteration 221000, loss = 0.249, ber = 0.01014
Iteration 222000, loss = 0.238, ber = 0.00965
Iteration 223000, loss = 0.247, ber = 0.00999
Iteration 224000, loss = 0.245, ber = 0.00992
Iteration 225000, loss = 0.256, ber = 0.01036
Iteration 226000, loss = 0.248, ber = 0.01019
Iteration 227000, loss = 0.248, ber = 0.00998
Iteration 228000, loss = 0.233, ber = 0.00954
Iteration 229000, loss = 0.238, ber = 0.00978
Iteration 230000, loss = 0.248, ber = 0.01011
Iteration 231000, loss = 0.242, ber = 0.00985
Iteration 232000, loss = 0.243, ber = 0.00997
Iteration 233000, loss = 0.240, ber = 0.00966
Iteration 234000, loss = 0.248, ber = 0.00991
Iteration 235000, loss = 0.241, ber = 0.00985
Iteration 236000, loss = 0.238, ber = 0.00936
Iteration 237000, loss = 0.238, ber = 0.00970
Iteration 238000, loss = 0.240, ber = 0.00987
Iteration 239000, loss = 0.250, ber = 0.01017
Iteration 240000, loss = 0.239, ber = 0.00978
Iteration 241000, loss = 0.248, ber = 0.00997
Iteration 242000, loss = 0.241, ber = 0.00977
Iteration 243000, loss = 0.246, ber = 0.01003
Iteration 244000, loss = 0.242, ber = 0.00969
Iteration 245000, loss = 0.248, ber = 0.01007
Iteration 246000, loss = 0.239, ber = 0.00960
Iteration 247000, loss = 0.244, ber = 0.00976
Iteration 248000, loss = 0.270, ber = 0.01092
Iteration 249000, loss = 0.246, ber = 0.01014
Iteration 250000, loss = 0.246, ber = 0.01000
Iteration 251000, loss = 0.244, ber = 0.00967
Iteration 252000, loss = 0.246, ber = 0.01000
Iteration 253000, loss = 0.241, ber = 0.00972
Iteration 254000, loss = 0.242, ber = 0.00982
Iteration 255000, loss = 0.245, ber = 0.01004
Iteration 256000, loss = 0.239, ber = 0.00953
Iteration 257000, loss = 0.244, ber = 0.00972
Iteration 258000, loss = 0.241, ber = 0.00969
Iteration 259000, loss = 0.243, ber = 0.00969
Iteration 260000, loss = 0.237, ber = 0.00955
Iteration 261000, loss = 0.246, ber = 0.01013
Iteration 262000, loss = 0.241, ber = 0.00979
Iteration 263000, loss = 0.244, ber = 0.01002
Iteration 264000, loss = 0.241, ber = 0.00978
Iteration 265000, loss = 0.239, ber = 0.00955
Iteration 266000, loss = 0.242, ber = 0.00966
Iteration 267000, loss = 0.236, ber = 0.00948
Iteration 268000, loss = 0.247, ber = 0.01014
Iteration 269000, loss = 0.253, ber = 0.01020
Iteration 270000, loss = 0.244, ber = 0.00987
Iteration 271000, loss = 0.248, ber = 0.01006
Iteration 272000, loss = 0.245, ber = 0.00992
Iteration 273000, loss = 0.242, ber = 0.00972
Iteration 274000, loss = 0.241, ber = 0.00978
Iteration 275000, loss = 0.240, ber = 0.00951
Iteration 276000, loss = 0.249, ber = 0.01007
Iteration 277000, loss = 0.245, ber = 0.00978
Iteration 278000, loss = 0.242, ber = 0.00979
Iteration 279000, loss = 0.239, ber = 0.00973
Iteration 280000, loss = 0.229, ber = 0.00906
Iteration 281000, loss = 0.246, ber = 0.01000
Iteration 282000, loss = 0.235, ber = 0.00954
Iteration 283000, loss = 0.242, ber = 0.00986
Iteration 284000, loss = 0.237, ber = 0.00933
Iteration 285000, loss = 0.245, ber = 0.00987
Iteration 286000, loss = 0.249, ber = 0.01031
Iteration 287000, loss = 0.248, ber = 0.00996
Iteration 288000, loss = 0.245, ber = 0.00997
Iteration 289000, loss = 0.245, ber = 0.01005
Iteration 290000, loss = 0.252, ber = 0.01048
Iteration 291000, loss = 0.234, ber = 0.00923
Iteration 292000, loss = 0.244, ber = 0.00986
Iteration 293000, loss = 0.241, ber = 0.00968
Iteration 294000, loss = 0.238, ber = 0.00961
Iteration 295000, loss = 0.234, ber = 0.00948
Iteration 296000, loss = 0.245, ber = 0.00999
Iteration 297000, loss = 0.238, ber = 0.00962
Iteration 298000, loss = 0.238, ber = 0.00959
Iteration 299000, loss = 0.246, ber = 0.01000
Iteration 0, loss = 0.243, ber = 0.00974
Iteration 1000, loss = 0.245, ber = 0.00997
Iteration 2000, loss = 0.244, ber = 0.00990
Iteration 3000, loss = 0.244, ber = 0.00982
Iteration 4000, loss = 0.245, ber = 0.00981
Iteration 5000, loss = 0.239, ber = 0.00968
Iteration 6000, loss = 0.236, ber = 0.00943
Iteration 7000, loss = 0.236, ber = 0.00955
Iteration 8000, loss = 0.242, ber = 0.00990
Iteration 9000, loss = 0.237, ber = 0.00950
Iteration 10000, loss = 0.240, ber = 0.00963
Iteration 11000, loss = 0.245, ber = 0.00993
Iteration 12000, loss = 0.233, ber = 0.00942
Iteration 13000, loss = 0.239, ber = 0.00957
